state,district,time,metric_type,value,source
Tamil Nadu,The Nilgiris,2025-11,aadhaar_demographic_update,4889,UIDAI
Tamil Nadu,The Nilgiris,2025-12,aadhaar_demographic_update,4066,UIDAI
Tamil Nadu,The Nilgiris,2026-01,aadhaar_demographic_update,251,UIDAI
Tamil Nadu,Theni,2025-03,aadhaar_demographic_update,12302,UIDAI
Tamil Nadu,Theni,2025-04,aadhaar_demographic_update,1191,UIDAI
Tamil Nadu,Theni,2025-09,aadhaar_demographic_update,7837,UIDAI
Tamil Nadu,Theni,2025-10,aadhaar_demographic_update,4467,UIDAI
Tamil Nadu,Theni,2025-11,aadhaar_demographic_update,10947,UIDAI
Tamil Nadu,Theni,2025-12,aadhaar_demographic_update,9376,UIDAI
Tamil Nadu,Theni,2026-01,aadhaar_demographic_update,543,UIDAI
Tamil Nadu,Thiruvallur,2025-09,aadhaar_demographic_update,464,UIDAI
Tamil Nadu,Thiruvallur,2025-10,aadhaar_demographic_update,315,UIDAI
Tamil Nadu,Thiruvallur,2025-11,aadhaar_demographic_update,732,UIDAI
Tamil Nadu,Thiruvallur,2025-12,aadhaar_demographic_update,597,UIDAI
Tamil Nadu,Thiruvallur,2026-01,aadhaar_demographic_update,23,UIDAI
Tamil Nadu,Thiruvarur,2025-03,aadhaar_demographic_update,6315,UIDAI
Tamil Nadu,Thiruvarur,2025-09,aadhaar_demographic_update,8157,UIDAI
Tamil Nadu,Thiruvarur,2025-10,aadhaar_demographic_update,5164,UIDAI
Tamil Nadu,Thiruvarur,2025-11,aadhaar_demographic_update,11156,UIDAI
Tamil Nadu,Thiruvarur,2025-12,aadhaar_demographic_update,10489,UIDAI
Tamil Nadu,Thiruvarur,2026-01,aadhaar_demographic_update,548,UIDAI
Tamil Nadu,Thoothukkudi,2025-03,aadhaar_demographic_update,11211,UIDAI
Tamil Nadu,Thoothukkudi,2025-07,aadhaar_demographic_update,3734,UIDAI
Tamil Nadu,Thoothukkudi,2025-09,aadhaar_demographic_update,9472,UIDAI
Tamil Nadu,Thoothukkudi,2025-10,aadhaar_demographic_update,5651,UIDAI
Tamil Nadu,Thoothukkudi,2025-11,aadhaar_demographic_update,13037,UIDAI
Tamil Nadu,Thoothukkudi,2025-12,aadhaar_demographic_update,12073,UIDAI
Tamil Nadu,Thoothukkudi,2026-01,aadhaar_demographic_update,767,UIDAI
Tamil Nadu,Thoothukudi,2025-09,aadhaar_demographic_update,2,UIDAI
Tamil Nadu,Thoothukudi,2025-11,aadhaar_demographic_update,5,UIDAI
Tamil Nadu,Thoothukudi,2025-12,aadhaar_demographic_update,1,UIDAI
Tamil Nadu,Tiruchirappalli,2025-03,aadhaar_demographic_update,16510,UIDAI
Tamil Nadu,Tiruchirappalli,2025-04,aadhaar_demographic_update,1107,UIDAI
Tamil Nadu,Tiruchirappalli,2025-05,aadhaar_demographic_update,386,UIDAI
Tamil Nadu,Tiruchirappalli,2025-09,aadhaar_demographic_update,13827,UIDAI
Tamil Nadu,Tiruchirappalli,2025-10,aadhaar_demographic_update,8113,UIDAI
Tamil Nadu,Tiruchirappalli,2025-11,aadhaar_demographic_update,21966,UIDAI
Tamil Nadu,Tiruchirappalli,2025-12,aadhaar_demographic_update,17615,UIDAI
Tamil Nadu,Tiruchirappalli,2026-01,aadhaar_demographic_update,1018,UIDAI
Tamil Nadu,Tirunelveli,2025-03,aadhaar_demographic_update,23187,UIDAI
Tamil Nadu,Tirunelveli,2025-04,aadhaar_demographic_update,524,UIDAI
Tamil Nadu,Tirunelveli,2025-09,aadhaar_demographic_update,15997,UIDAI
Tamil Nadu,Tirunelveli,2025-10,aadhaar_demographic_update,9552,UIDAI
Tamil Nadu,Tirunelveli,2025-11,aadhaar_demographic_update,21333,UIDAI
Tamil Nadu,Tirunelveli,2025-12,aadhaar_demographic_update,18474,UIDAI
Tamil Nadu,Tirunelveli,2026-01,aadhaar_demographic_update,1268,UIDAI
Tamil Nadu,Tirupathur,2025-09,aadhaar_demographic_update,13,UIDAI
Tamil Nadu,Tirupathur,2025-10,aadhaar_demographic_update,22,UIDAI
Tamil Nadu,Tirupathur,2025-11,aadhaar_demographic_update,36,UIDAI
Tamil Nadu,Tirupathur,2025-12,aadhaar_demographic_update,38,UIDAI
Tamil Nadu,Tirupattur,2025-03,aadhaar_demographic_update,2019,UIDAI
Tamil Nadu,Tirupattur,2025-09,aadhaar_demographic_update,1563,UIDAI
Tamil Nadu,Tirupattur,2025-10,aadhaar_demographic_update,1029,UIDAI
Tamil Nadu,Tirupattur,2025-11,aadhaar_demographic_update,3365,UIDAI
Tamil Nadu,Tirupattur,2025-12,aadhaar_demographic_update,3014,UIDAI
Tamil Nadu,Tirupattur,2026-01,aadhaar_demographic_update,190,UIDAI
Tamil Nadu,Tiruppur,2025-03,aadhaar_demographic_update,16446,UIDAI
Tamil Nadu,Tiruppur,2025-04,aadhaar_demographic_update,5973,UIDAI
Tamil Nadu,Tiruppur,2025-05,aadhaar_demographic_update,3583,UIDAI
Tamil Nadu,Tiruppur,2025-07,aadhaar_demographic_update,1436,UIDAI
Tamil Nadu,Tiruppur,2025-09,aadhaar_demographic_update,13342,UIDAI
Tamil Nadu,Tiruppur,2025-10,aadhaar_demographic_update,9145,UIDAI
Tamil Nadu,Tiruppur,2025-11,aadhaar_demographic_update,22669,UIDAI
Tamil Nadu,Tiruppur,2025-12,aadhaar_demographic_update,18291,UIDAI
Tamil Nadu,Tiruppur,2026-01,aadhaar_demographic_update,1040,UIDAI
Tamil Nadu,Tiruvallur,2025-03,aadhaar_demographic_update,39653,UIDAI
Tamil Nadu,Tiruvallur,2025-04,aadhaar_demographic_update,11838,UIDAI
Tamil Nadu,Tiruvallur,2025-05,aadhaar_demographic_update,6768,UIDAI
Tamil Nadu,Tiruvallur,2025-06,aadhaar_demographic_update,1569,UIDAI
Tamil Nadu,Tiruvallur,2025-07,aadhaar_demographic_update,11223,UIDAI
Tamil Nadu,Tiruvallur,2025-09,aadhaar_demographic_update,22711,UIDAI
Tamil Nadu,Tiruvallur,2025-10,aadhaar_demographic_update,13193,UIDAI
Tamil Nadu,Tiruvallur,2025-11,aadhaar_demographic_update,34186,UIDAI
Tamil Nadu,Tiruvallur,2025-12,aadhaar_demographic_update,29785,UIDAI
Tamil Nadu,Tiruvallur,2026-01,aadhaar_demographic_update,1770,UIDAI
Tamil Nadu,Tiruvannamalai,2025-03,aadhaar_demographic_update,23224,UIDAI
Tamil Nadu,Tiruvannamalai,2025-04,aadhaar_demographic_update,694,UIDAI
Tamil Nadu,Tiruvannamalai,2025-05,aadhaar_demographic_update,859,UIDAI
Tamil Nadu,Tiruvannamalai,2025-09,aadhaar_demographic_update,13246,UIDAI
Tamil Nadu,Tiruvannamalai,2025-10,aadhaar_demographic_update,7917,UIDAI
Tamil Nadu,Tiruvannamalai,2025-11,aadhaar_demographic_update,16622,UIDAI
Tamil Nadu,Tiruvannamalai,2025-12,aadhaar_demographic_update,14432,UIDAI
